아벨,PID_アベル
알파드,PID_アルファルド
알폰스,PID_比翼アルフォンス
알폰스,PID_アルフォンス
알폰스,PID_春祭アルフォンス
알폰스,PID_愛の祭アルフォンス
아름,PID_アルム
아름,PID_総選挙アルム
아름,PID_比翼アルム
아름,PID_伝承アルム
알테나,PID_アルテナ
올티나,PID_双界オルティナ
올티나,PID_神階オルティナ
아멜리아,PID_アメリア
안나,PID_アンナ
안나,PID_覚醒アンナ
안나,PID_年明アンナ
마냐,PID_マーニャ
아네트,PID_アネット
아단,PID_アーダン
아레스,PID_アレス
셴메이,PID_シェンメイ
아서,PID_アーサー
해럴드,PID_ハロルド
아스레이,PID_冬祭アスレイ
아르발,PID_神階ラルヴァ
알비스,PID_アルヴィス
아스벨,PID_アスベル
아슈,PID_アシュ
애쉬,PID_水着アッシュ
아스타르테,PID_神階アスタルテ
아슈나드,PID_暴走アシュナード
아스크,PID_神階アスク
아스트리아,PID_アストリア
스텔라,PID_ステラ
아테나,PID_アテナ
아틀라스,PID_アトラス
아우구스트,PID_アウグスト
인버스,PID_インバース
아이라,PID_アイラ
아사마,PID_アサマ
아젤,PID_アゼル
아쿠아,PID_年明けアクア
아쿠아,PID_双界アクア
아쿠아,PID_舞踏祭黒アクア
아쿠아,PID_アクア
아쿠아,PID_伝承アクア
아쿠아,PID_幼少アクア
발타자르,PID_バルタザール
바누투,PID_バヌトゥ
바츠,PID_バーツ
바아톨,PID_春祭バアトル
바아톨,PID_バアトル
바질리오,PID_バジーリオ
브노와,PID_ブノワ
베르크트,PID_舞踏ベルクト
베르크트,PID_ベルクト
베르크트,PID_闇ベルクト
베르나데타,PID_ベルナデッタ
베르나데타,PID_冬祭ベルナデッタ
베우포레스,PID_ベウフォレス
베르카,PID_ベルカ
칠흑의 기사,PID_漆黒の騎士
보이,PID_ボーイ
보레,PID_幼少ボーレ
브레디,PID_ブレディ
브라미몬드,PID_神階ブラミモンド
도적 두목,PID_盗賊頭
브리기드,PID_海賊ブリギッド
